SNo,SPP,Block,ICR,Inv,SMB,Tags,FieldSCBName
118,Phelan,PH,ICR02,INV04,SCB17,ITC2_INV4_CT17_A,ICR02_INV04_SCB13
119,Phelan,PH,ICR02,INV04,SCB18,ITC2_INV4_CT18_A,ICR02_INV04_SCB14
120,Phelan,PH,ICR02,INV04,SCB19,ITC2_INV4_CT19_A,ICR02_INV04_SCB15
121,Phelan,PH,ICR03,INV01,SCB01,ITC3_INV1_CT1_A,ICR03_INV01_SCB01
122,Phelan,PH,ICR03,INV01,SCB02,ITC3_INV1_CT2_A,ICR03_INV01_SCB02
123,Phelan,PH,ICR03,INV01,SCB03,ITC3_INV1_CT3_A,ICR03_INV01_SCB03
124,Phelan,PH,ICR03,INV01,SCB04,ITC3_INV1_CT4_A,ICR03_INV01_SCB04
125,Phelan,PH,ICR03,INV01,SCB05,ITC3_INV1_CT5_A,ICR03_INV01_SCB05
126,Phelan,PH,ICR03,INV01,SCB08,ITC3_INV1_CT8_A,ICR03_INV01_SCB06
127,Phelan,PH,ICR03,INV01,SCB09,ITC3_INV1_CT9_A,ICR03_INV01_SCB07
128,Phelan,PH,ICR03,INV01,SCB10,ITC3_INV1_CT10_A,ICR03_INV01_SCB08
129,Phelan,PH,ICR03,INV01,SCB11,ITC3_INV1_CT11_A,ICR03_INV01_SCB09
130,Phelan,PH,ICR03,INV01,SCB12,ITC3_INV1_CT12_A,ICR03_INV01_SCB10
131,Phelan,PH,ICR03,INV01,SCB15,ITC3_INV1_CT15_A,ICR03_INV01_SCB11
132,Phelan,PH,ICR03,INV01,SCB16,ITC3_INV1_CT16_A,ICR03_INV01_SCB12
133,Phelan,PH,ICR03,INV01,SCB17,ITC3_INV1_CT17_A,ICR03_INV01_SCB13
134,Phelan,PH,ICR03,INV01,SCB18,ITC3_INV1_CT18_A,ICR03_INV01_SCB14
135,Phelan,PH,ICR03,INV01,SCB19,ITC3_INV1_CT19_A,ICR03_INV01_SCB15
136,Phelan,PH,ICR03,INV02,SCB01,ITC3_INV2_CT1_A,ICR03_INV02_SCB01
137,Phelan,PH,ICR03,INV02,SCB02,ITC3_INV2_CT2_A,ICR03_INV02_SCB02
138,Phelan,PH,ICR03,INV02,SCB03,ITC3_INV2_CT3_A,ICR03_INV02_SCB03
139,Phelan,PH,ICR03,INV02,SCB04,ITC3_INV2_CT4_A,ICR03_INV02_SCB04
140,Phelan,PH,ICR03,INV02,SCB05,ITC3_INV2_CT5_A,ICR03_INV02_SCB05
141,Phelan,PH,ICR03,INV02,SCB08,ITC3_INV2_CT8_A,ICR03_INV02_SCB06
142,Phelan,PH,ICR03,INV02,SCB09,ITC3_INV2_CT9_A,ICR03_INV02_SCB07
143,Phelan,PH,ICR03,INV02,SCB10,ITC3_INV2_CT10_A,ICR03_INV02_SCB08
144,Phelan,PH,ICR03,INV02,SCB11,ITC3_INV2_CT11_A,ICR03_INV02_SCB09
